product_id,title,description,product_type,product_tags,product_collections,shopify_cdn_url,local_path
14988,trucotton midi length milkmaid dress,midi dress classic green embrace square neckline delicate puff sleeve fitandflare silhouette featuring flowing hem zip closure tailored sustainable cotton offering blend structure grace,Dress,"{'Colour': 'Green', 'Print': 'Solid'}",green breeze,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0366_2_1600x.jpg?v=1737628748,D:\flickd\data_preprocessing\catalog_images.csv\14988.jpg
14989,top rescued polyester vneck floral print top,floral strappy top brings modern edge feminine dressing sleek vneckline sleeveless design tailored regular fit straight hem crafted rescued poly ensuring durability consciously crafted aesthetic,Top,"{'Colour': 'Off White', 'Print': 'Abstract'}","pink snow, the white lotus, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0112_2.jpg?v=1737629152&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\14989.jpg
14990,peplum denim cami top,blue denim peplum cami top strappy top cropped fit crafted cotton sustainable choice,Top,"{'Colour': 'Blue', 'Print': 'Solid'}","date ready, midnight sapphire, mystic blue, snug season, the boyfriend's hoodie, the denim drop",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB12_1600x.jpg?v=1738833980,
14991,blue regular flared denims,light blue flared regular denim denim jean straight fit hem feature pocket crafted cotton sustainable choice,Jeans,"{'Colour': 'Blue', 'Print': 'Solid'}","date ready, midnight sapphire, mystic blue, the denim drop",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB3_a50b5437-2dd9-48b0-8794-13ffdefcaa23_1600x.jpg?v=1738833563,D:\flickd\data_preprocessing\catalog_images.csv\14991.jpg
14992,cropped hoodie shorts co-ord,cropped blue knitted hoodie designed long cuffed sleeve feature boxy fit curved hemline crafted cottonrecycled poly blend sustainable fit,Co-Ord,"{'Colour': 'Blue', 'Print': 'Self Design'}","date ready, midnight sapphire, mystic blue, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1656_1600x.jpg?v=1738831875,
14994,oversized black t-shirt,black oversized vneck knitted sweater vest feature extended sleeve designed boxy fit straight hem crafted cottonrecycled poly blend sustainable ecofriendly,Top,"{'Colour': 'Black', 'Print': 'Solid'}","crimson night, date ready, midnight sapphire, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB3_980f49bb-9e0b-4af1-bf33-4b2727b12b91_1600x.jpg?v=1739274815,D:\flickd\data_preprocessing\catalog_images.csv\14994.jpg
14995,hoodie shorts co-ord set,pink cropped knitted hoodie short coord set hoodie long cuffed sleeve boxy fit straight short pocket crafted cottonrecycled poly blend sustainable fit,Co-Ord,"{'Colour': 'Pink', 'Print': 'Self Design'}","date ready, kiss & tell, pink bloom, pink snow, snug season, the boyfriend's hoodie, the galentines brunch",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1973_e314d9c0-03a9-4daa-bd37-a5b4ba7197ae_1600x.jpg?v=1738758319,
14996,smocked peplum top with bow,solid white smocked ruffle peplum top feature satin bow applique detail designed square neck crop top flounce hem crafted cotton making sustainable pick,Top,"{'Colour': 'Off White', 'Print': 'Solid'}","bows, brunch ready, date ready, pink snow, soft romance, the galentines brunch, vacation vibe, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB7_7dac0ea1-9054-46e9-89b3-da4989fb9153_1600x.jpg?v=1739271242,D:\flickd\data_preprocessing\catalog_images.csv\14996.jpg
14997,cropped elasticated hoodie,green cropped elasticated knitted hoodie feature long cuffed sleeve designed boxy fit straight hem crafted cottonrecycled poly blend sustainable ecofriendly,Top,"{'Colour': 'Green', 'Print': 'Solid'}","date ready, green breeze, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF2117_1600x.jpg?v=1738738171,
14998,black bow knot tie-up top,solid black tieup top bow knot crop top feature strappy design designed flared fit hem crafted cotton making sustainable pick,Top,"{'Colour': 'Black', 'Print': 'Solid'}","bleed blue, bows, brunch ready, crimson night, date ready, midnight sapphire, soft romance, the galentines brunch, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB5_8b7ac5c8-f32c-48a1-ae95-971683e20c75_1600x.jpg?v=1739277967,D:\flickd\data_preprocessing\catalog_images.csv\14998.jpg
14999,halter neck tiered dress,black halter neck tiered maxi dress back bow designed aline fit flared hem crafted cotton dress sustainable pick,Dress,"{'Colour': 'Black', 'Print': 'Solid'}","chasing butterflies, crimson night, date ready, midnight sapphire, soft romance, the galentines brunch, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB5_9add3ba8-36da-44e8-b765-1b4170403192_512x.jpg?v=1739430286,D:\flickd\data_preprocessing\catalog_images.csv\14999.jpg
15001,oversized v-neck t-shirt,grey oversized vneck knitted sweater vest feature extended sleeve designed boxy fit straight hem crafted cottonrecycled poly blend sustainable ecofriendly,Top,"{'Colour': 'Grey', 'Print': 'Solid'}","date ready, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB5_3930e812-59eb-40d4-a5a8-b219f73cf3a8.jpg?v=1739271707&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\15001.jpg
15002,hoodie cropped boxy blue hoodie,cropped blue knitted hoodie long cuffed sleeve boxy fit curved hemline crafted cottonrecycled poly blend sustainable fit,Top,"{'Colour': 'Blue', 'Print': 'Self Design'}","date ready, midnight sapphire, mystic blue, snug season, the boyfriend's hoodie",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1663E4_1600x.jpg?v=1738831884,D:\flickd\data_preprocessing\catalog_images.csv\15002.jpg
15003,viscose highneck scooped hem regular top,black high neck full sleeve top regular fit knitted top made viscose nylon blend ensuring durability ecofriendly attribute,Top,"{'Colour': 'White', 'Print': 'Solid'}","brunch ready, crimson night, midnight sapphire, pink snow, snug season, the boyfriend's hoodie, threads of freedom, white bloom, work wear",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/13thNOV2024Virgio-0107_856a0ea3-13a9-4278-98fc-0e7fedcddc2f_1600x.jpg?v=1737450232,D:\flickd\data_preprocessing\catalog_images.csv\15003.jpg
15004,pants rescued polyester floral print wide pants,designed effortless movement floral printed pant reimagine relaxed tailoring versatile straightleg silhouette cut regular fit structured hem pant crafted rescued poly balancing sustainability contemporary ease,Trouser,"{'Colour': 'Off White', 'Print': 'Abstract'}","pink snow, the white lotus, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0081_2_1600x.jpg?v=1739880812,D:\flickd\data_preprocessing\catalog_images.csv\15004.jpg
15005,pants rescued polyester abstract print pant,abstract floral printed pant bring effortless elegance contemporary tailoring straightleg silhouette structured hem pant offer regular fit thats versatile polished designed rescued poly redefine sustainable fashion timeless appeal,Trouser,"{'Colour': 'Teal', 'Print': 'Abstract'}",the white lotus,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0495_1600x.jpg?v=1739880711,D:\flickd\data_preprocessing\catalog_images.csv\15005.jpg
15006,shorts rescued polyester abstract print shorts,abstract floral printed short offer perfect balance comfort style featuring kneelength silhouette elasticated gathered waistband effortless fit finished straight hem lightweight short crafted rescued poly ensuring durability sustainable touch,Shorts,"{'Colour': 'Teal', 'Print': 'Abstract'}",the white lotus,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0023_4_c56f3599-5aab-4d12-bfa4-98df99846713_1600x.jpg?v=1737633610,D:\flickd\data_preprocessing\catalog_images.csv\15006.jpg
15008,shirt rescued polyester floral print shirt,elevate everyday dressing floral printed shirt versatile buttondown silhouette short sleeve straight hem designed relaxed yet polished fit crafted rescued poly offering lightweight longlasting feel seamlessly blend style sustainability,Shirt,"{'Colour': 'Off White', 'Print': 'Abstract'}","the classic edit, the white lotus",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0482_0678fb40-2fa9-432a-8499-0e354c8637af_1600x.jpg?v=1748851276,D:\flickd\data_preprocessing\catalog_images.csv\15008.jpg
15009,ribbed lace trim t-shirt,solid black ribbed tshirt designed straight hem lace trim feature vneck short regular sleeve crafted viscose longlasting durable fit,Tshirt,"{'Colour': 'Black', 'Print': 'Solid'}","crimson night, date ready, midnight sapphire, soft romance, the classic edit",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/Untitled-4_644fb7cb-e06a-4f51-b77c-7dcc9d9aa4aa_1600x.jpg?v=1739427869,D:\flickd\data_preprocessing\catalog_images.csv\15009.jpg
15010,rose applique bodycon dress,red solid knitted bodycon mini dress feature rosebow applique detail square neck short regular sleeve crafted viscose longlasting durable fit,Dress,"{'Colour': 'Red', 'Print': 'Solid'}","brunch ready, crimson night, date ready, kiss & tell, red velvet, soft romance, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/Untitled-8_1a58420e-0e3e-4de0-b50b-a06fa50b1c18_1600x.jpg?v=1739427493,D:\flickd\data_preprocessing\catalog_images.csv\15010.jpg
15012,cupid graphic cutout t-shirt,white cupid graphic tshirt designed cutout detail feature round neck short regular sleeve designed straight hem crafted cotton making sustainable pick,Tshirt,"{'Colour': 'Off White', 'Print': 'Graphic'}","brunch ready, date ready, pink snow, soft romance, the classic edit, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/Untitled-25_9cc00084-1836-43bb-a649-18f4f983153d_1600x.jpg?v=1739427797,D:\flickd\data_preprocessing\catalog_images.csv\15012.jpg
15013,lace v-neckline mini dress,black vneck mini dress feature regular sleeve designed lace trim fitted throughout straight hem crafted viscose longlasting durable fit,Dress,"{'Colour': 'Black', 'Print': 'Solid'}","crimson night, date ready, midnight sapphire, soft romance, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/Untitled-29_a0ad45f2-d26d-4342-a09a-6e3c0721ae87_1600x.jpg?v=1739427395,D:\flickd\data_preprocessing\catalog_images.csv\15013.jpg
15014,heart printed tank top,white heart printed graphic tank top designed round neck straight hem crop top crafted cotton making sustainable pick,Top,"{'Colour': 'Off White', 'Print': 'Graphic'}","brunch ready, date ready, pink snow, soft romance, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/8102196_1600x.jpg?v=1741342002,D:\flickd\data_preprocessing\catalog_images.csv\15014.jpg
15019,strappy mini lace dress,brown strappy mini lace dress fitted bodice flared silhouette crafted cotton dress sustainable ecofriendly,Dress,"{'Colour': 'Brown', 'Print': 'Solid'}","brunch ready, mocha mousse, the galentines brunch, the pantone collection, the white lotus, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0635_1.jpg?v=1736403332&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\15019.jpg
15020,olive strappy gathered top,olive strappy gathered top balloon fit crafted cotton top sustainable ecofriendly,Top,"{'Colour': 'Olive', 'Print': 'Solid'}","mocha mousse, the galentines brunch, the pantone collection, threads of freedom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0759.jpg?v=1736774325&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\15020.jpg
15021,colour blocked flared skirt,olive colour blocked flared skirt mocha trim maxi skirt feature pocket crafted cotton skirt sustainable ecofriendly,Skirt,"{'Colour': 'Olive', 'Print': 'Colourblocked'}","mocha mousse, the galentines brunch, the pantone collection, threads of freedom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0799.jpg?v=1738656808&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\15021.jpg
15023,lace detail bubble hem dress,beige ric rac lace bubble hem mini dress tropical print featuring square neckline short regular sleeve crafted cotton dress sustainable ecofriendly,Dress,"{'Colour': 'Beige', 'Print': 'Tropical'}","brunch ready, mocha mousse, the galentines brunch, the pantone collection, the white lotus, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0250_1_1600x.jpg?v=1741858309,D:\flickd\data_preprocessing\catalog_images.csv\15023.jpg
15025,strappy gathered dress,olive strappy gathered dress mini dress designed pleated bodice fit flared silhouette feature pocket crafted cotton dress sustainable ecofriendly,Dress,"{'Colour': 'Olive', 'Print': 'Colourblocked'}","brunch ready, manushi chilar's party go-to's!, mocha mousse, party wear, the galentines brunch, the pantone collection, threads of freedom, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0496_1_1600x.jpg?v=1736152740,D:\flickd\data_preprocessing\catalog_images.csv\15025.jpg
15026,puff sleeve smocked dress,brown puff sleeve smocked midi dress square neckline short puff sleeve fit flared silhouette crafted cotton dress sustainable ecofriendly,Dress,"{'Colour': 'Brown', 'Print': 'Solid'}","brunch ready, chasing butterflies, mocha mousse, the galentines brunch, the pantone collection, threads of freedom, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-1581_1600x.jpg?v=1736152354,D:\flickd\data_preprocessing\catalog_images.csv\15026.jpg
15027,peplum top with tie detail,white peplum top tieup detail front ruffle strap feature smocking detail crafted cotton top sustainable ecofriendly,Top,"{'Colour': 'White', 'Print': 'Solid'}","brunch ready, mocha mousse, pink snow, the pantone collection, vacation vibe, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0864_1600x.jpg?v=1736152438,D:\flickd\data_preprocessing\catalog_images.csv\15027.jpg
15030,floral print blocked shirt,floral printed blocked tan shirt long cuffed sleeve curved hem mocha button crafted viscoselinen blend lasting durability timeless style,Shirt,"{'Colour': 'Tan', 'Print': 'Floral'}","mocha mousse, the classic edit, the pantone collection, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-1130_512x.jpg?v=1738657174,D:\flickd\data_preprocessing\catalog_images.csv\15030.jpg
15031,ditsy print pleated shirt,tan ditsy print pleated shirt long cuffed sleeve feature mocha button made printed tencel shirt sustainable smooth touch provides longlasting comfort,Shirt,"{'Colour': 'Tan', 'Print': 'Floral'}","mocha mousse, office to off-duty, the classic edit, the galentines brunch, the pantone collection, vacation vibe, work wear",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0154_1_1600x.jpg?v=1736151873,D:\flickd\data_preprocessing\catalog_images.csv\15031.jpg
15032,lace detail flared dress,kingree lace detail flared mini tan colour dress floral print sweetheart neckline short puff sleeve crafted viscoselinen blend lasting durability timeless style,Dress,"{'Colour': 'Tan', 'Print': 'Floral'}","brunch ready, mocha mousse, the galentines brunch, the pantone collection, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0621_1_1600x.jpg?v=1736152249,D:\flickd\data_preprocessing\catalog_images.csv\15032.jpg
15034,colour blocked layered dress,black brown colourblocked layered dress fit flared silhouette crafted cotton dress sustainable ecofriendly,Dress,"{'Colour': 'Brown', 'Print': 'Colourblocked'}","brunch ready, chasing butterflies, mocha mousse, office to off-duty, the galentines brunch, the pantone collection, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0375_1.jpg?v=1736774102&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\15034.jpg
15035,brown straight fit trousers,brown straight fit trouser feature pocket zip closure crafted cotton trouser sustainable ecofriendly,Trouser,"{'Colour': 'Brown', 'Print': 'Solid'}","mocha mousse, the pantone collection, work wear",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-1897_1600x.jpg?v=1736150835,D:\flickd\data_preprocessing\catalog_images.csv\15035.jpg
15041,colour block bow tie-up top,black brown colourblocked top bow tieup detail front blouson fit throughout straight hem crafted cotton top sustainable ecofriendly,Top,"{'Colour': 'Brown', 'Print': 'Colourblocked'}","bows, brunch ready, manushi chilar's party go-to's!, mocha mousse, party wear, santa's chic list, the galentines brunch, the pantone collection, vacation vibe, work wear",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/28th_DEC_2024Virgio-0949_1600x.jpg?v=1736150757,D:\flickd\data_preprocessing\catalog_images.csv\15041.jpg
15044,trucotton lace detail midi dress,purple midi dress featuring intricate lace detail designed strappy sleeveless silhouette fitandflare shape flattering feminine look made cotton dress sustainable ecofriendly,Dress,"{'Colour': 'Purple', 'Print': 'Solid'}","boho'scape, modern muse, the galentines brunch, the white lotus, threads of freedom, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-3553.jpg?v=1735557120&quality=60&width=512,D:\flickd\data_preprocessing\catalog_images.csv\15044.jpg
15046,cotton crochet flared hem crop top,black crochet crop top round neckline long flared sleeve designed fitandflare silhouette feature crochet pattern flared hem made sustainable cottonnylon blend top ecofriendly perfect adding touch sophistication wardrobe,Top,"{'Colour': 'Black', 'Print': 'Solid'}","boho'scape, crimson night, midnight sapphire, modern muse, party wear, the white lotus, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2437_1600x.jpg?v=1735207990,D:\flickd\data_preprocessing\catalog_images.csv\15046.jpg
15049,trucotton sleeveless top with flared hem,pink sleeveless crop top lace embroidery square neckline flared hem made sustainable cotton top offer feminine silhouette ecofriendly design,Top,"{'Colour': 'Pink', 'Print': 'Solid'}","boho'scape, kiss & tell, modern muse, pink bloom, pink snow, the galentines brunch, the white lotus, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2295_1600x.jpg?v=1735546987,D:\flickd\data_preprocessing\catalog_images.csv\15049.jpg
15050,trucotton pintuck detail lace shirt,black drop shoulder shirt lace embroidery detail featuring mandarin collar button closure front long puff sleeve pin tuck detailing made sustainable cotton ecofriendly shirt offer stylish comfortable fit,Top,"{'Colour': 'Black', 'Print': 'Solid'}","boho'scape, crimson night, midnight sapphire, modern muse, party wear, vacation vibe, work wear",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2594_1600x.jpg?v=1735207102,D:\flickd\data_preprocessing\catalog_images.csv\15050.jpg
15052,trucotton front ruffled embroidery top,white embroidered crop top ruffle featuring round neck short puff sleeve crafted sustainable cotton ecofriendly top combine flattering fitandflare silhouette delicate embroidery,Top,"{'Colour': 'White', 'Print': 'Solid'}","boho'scape, modern muse, pink snow, threads of freedom, vacation vibe, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2479_1600x.jpg?v=1735545812,D:\flickd\data_preprocessing\catalog_images.csv\15052.jpg
15053,embroidered lace two-piece top,blue tie top lace embroidery detail cami inside mandarin collar long puff sleeve flared hemline crafted cotton top sustainable ecofriendly,Top,"{'Colour': 'Blue', 'Print': 'Solid'}","boho'scape, midnight sapphire, modern muse, mystic blue, the galentines brunch, threads of freedom, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2217_1600x.jpg?v=1735557417,D:\flickd\data_preprocessing\catalog_images.csv\15053.jpg
15056,trucotton crochet mini skirt with fringes,black mini crochet skirt fringe adding bold touch wardrobe regular fit comfort style crafted cotton ensuring sustainability ecofriendliness,Skirt,"{'Colour': 'Black', 'Print': 'Solid'}","boho'scape, crimson night, midnight sapphire, modern muse, the white lotus, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2708_1600x.jpg?v=1735207407,D:\flickd\data_preprocessing\catalog_images.csv\15056.jpg
15057,trucotton crochet mini skirt with fringes,white mini crochet skirt fringe offering fun stylish look regular fit comfortable wear crafted cotton making sustainable ecofriendly,Skirt,"{'Colour': 'White', 'Print': 'Solid'}","boho'scape, modern muse, pink snow, the white lotus, threads of freedom, vacation vibe, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2313_1600x.jpg?v=1738667963,D:\flickd\data_preprocessing\catalog_images.csv\15057.jpg
15059,blue lace peplum crop top,blue crochet crop top round neckline long flared sleeve crafted cotton nylon blend top sustainable ecofriendly,Top,"{'Colour': 'Blue', 'Print': 'Solid'}","boho'scape, midnight sapphire, modern muse, mystic blue, the galentines brunch, threads of freedom, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2166_1600x.jpg?v=1735546541,D:\flickd\data_preprocessing\catalog_images.csv\15059.jpg
15060,viscose lapel collar crop lace shirt,white crop shirt featuring crochet detail lapel collar shirt short regular sleeve straight hem offering classic timeless look crafted viscosenylon blend shirt durable longlasting,Top,"{'Colour': 'White', 'Print': 'Solid'}","boho'scape, modern muse, pink snow, threads of freedom, vacation vibe, white bloom, work wear",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2237_1600x.jpg?v=1735557497,D:\flickd\data_preprocessing\catalog_images.csv\15060.jpg
15061,trucotton tie up top with lace embroidery,purple embroidered tieup top lace detail feature round neckline sleeveless design cropped top perfect warm day made sustainable cotton combine style ecofriendly craftsmanship,Top,"{'Colour': 'Purple', 'Print': 'Solid'}","boho'scape, modern muse, the galentines brunch, the white lotus, threads of freedom, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2049_1600x.jpg?v=1735546840,D:\flickd\data_preprocessing\catalog_images.csv\15061.jpg
15063,trucotton side lace detail pullup pants,black pullup straight pant featuring delicate lace detail side hem regular fit designed comfort flattering silhouette crafted cotton,Trouser,"{'Colour': 'Black', 'Print': 'Solid'}","boho'scape, crimson night, midnight sapphire, modern muse, vacation vibe",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-3054_1600x.jpg?v=1739444771,D:\flickd\data_preprocessing\catalog_images.csv\15063.jpg
15064,trucotton gathered hem crochet skirt,white gathered maxi skirt crochet lace detail flared design provides elegant silhouette made sustainable cotton skirt ecofriendly,Skirt,"{'Colour': 'White', 'Print': 'Solid'}","boho'scape, modern muse, pink snow, the galentines brunch, the white lotus, threads of freedom, vacation vibe, white bloom",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2349_1600x.jpg?v=1738667778,D:\flickd\data_preprocessing\catalog_images.csv\15064.jpg
15066,viscose lapel collar crop lace shirt,black crop shirt featuring crochet detail lapel collar shirt short regular sleeve straight hem offering sleek versatile style crafted viscosenylon blend shirt durable longlasting,Top,"{'Colour': 'Black', 'Print': 'Solid'}","boho'scape, crimson night, midnight sapphire, modern muse, party wear, vacation vibe, work wear",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/18th_dec_virgio-2678_1600x.jpg?v=1735208939,D:\flickd\data_preprocessing\catalog_images.csv\15066.jpg
